20811|440|14.446|11.157|15.0325678475|46.234.248.133,95.171.40.109,95.171.40.105
43341|326|13.588|12.652|10.3893694244|213.211.195.250
8529|30|4.707|0.31|11.2179180884|134.0.217.82,82.178.158.142,134.0.219.154
39651|258|20.218|10.709|9.91199365302|213.200.162.32,213.200.162.101,213.200.163.61,213.200.163.235
29014|244|1.02675|0.000999999999999|10.6732016263|85.158.4.235
47447|439|0.74|0.025|17.7172572211|62.113.192.65,62.113.214.1
39257|568|0.7965|0.095|59.3377496322|87.238.184.3,87.238.185.3
8544|195|2.904|0.041|9.4738125528|78.158.141.201,78.158.141.157,78.158.141.145,78.158.141.205
41313|476|39.6335|2.325|16.7458179971|95.158.131.225,95.158.131.237,185.1.40.2,95.158.131.61,95.158.170.254,95.158.129.221
29404|534|3.4955|0.009|19.2562529814|217.73.151.30
31078|71|13.012|3.407|5.33100914316|217.115.0.162
8551|743|7.766|0.003|21.7863693122|212.179.124.126,212.179.161.217,62.219.189.126,62.219.189.130,212.179.124.253,212.179.161.218,212.179.124.249
24940|197|0.683|0.027|17.6253648581|213.239.229.73,213.239.245.218,213.239.229.77,213.239.245.33,213.239.203.153,213.239.245.254,213.239.245.6,213.239.245.250
8559|6|15.9645|14.844|6.10604082321|178.18.161.169
8560|536|6.201|0.011|61.4352306633|212.227.120.227,212.227.120.89,212.227.120.90,212.227.120.19
20849|633|3.238|0.001|53.9090508949|80.72.129.177
20853|25|24.474|15.817|5.90591688448|79.133.201.134,80.72.42.213,80.72.32.40
29076|1614|40.5335|0.244|41.1717804854|89.188.100.253,62.152.40.165,31.28.19.100
24955|2|60.749|59.927|0.822|92.50.190.142
31103|220|1.4515|0.012|37.5779177488|95.169.160.53,95.169.160.57
24961|72|4.3665|0.326|130.855238598|83.136.80.41,62.141.47.5
12676|382|1.6745|0.001|3.93859622512|
49544|78|1.372|0.055|5.37749497943|109.200.218.78
29066|569|0.358|0.001|10.1721898096|146.0.227.125
37271|10|1.997|0.128|1.29822124463|
12684|232|8.384|0.005|65.8818688566|212.56.230.47
8591|1552|12.7045|0.647|20.6501283092|212.18.44.150,212.18.44.142,212.18.44.190
31122|45|20.734|0.027|184.324431464|89.234.64.126,89.234.82.151
29075|2421|13.384|0.504|7.26618777402|212.85.145.170,212.85.148.109,212.85.145.172,212.85.149.97,212.85.148.185,212.85.145.138,212.85.149.125
8596|31|1.7|0.432|144.25127322|82.150.197.177
12693|313|16.035|0.27|26.7015892964|212.204.40.53,212.204.43.89
12695|475|40.207|0.227|31.8997854134|213.248.7.92,89.208.23.121,213.248.3.136,213.248.7.55
49560|79|2.144|0.154|13.9641695624|84.234.52.254
29081|160|12.601|1.035|57.8038364302|62.212.164.161
24989|512|0.715|0.007|55.0802510032|89.202.34.29,89.202.34.213,89.202.98.121
4651|183|16.672|0.035|37.2265115584|61.19.9.234,61.19.9.114,61.19.9.166,61.19.9.254
12714|1524|2.0415|0.002|37.3273157349|212.1.243.105,212.1.243.109,212.1.243.113
35244|421|7.317|0.007|30.966165004|95.157.47.33,95.157.47.97,95.157.61.1,46.128.225.3,85.233.35.30,95.157.61.65,95.157.47.1,95.157.47.65,95.157.61.97,85.233.35.10,95.157.61.33
31133|7|63.644|34.07|20.2895693178|85.26.205.122,37.29.5.129,85.26.162.4
8632|530|6.70675|0.039|48.9151579957|195.218.2.198,195.218.2.158
35258|584|0.6665|0.003|11.9651125803|46.254.123.98
12731|1289|0.93|0.005|7.34684275526|213.128.159.98,213.128.159.237,213.128.159.218
20932|129|0.745|0.003|44.5850235511|217.169.142.11
12741|442|18.047|1.22|12.0369132999|83.238.249.128,83.238.249.24,83.238.251.142,83.238.249.64,83.238.250.12,83.238.248.230,83.238.249.42,83.238.251.46,83.238.249.178,83.238.251.92,83.238.249.176,83.238.250.168,83.238.251.98,83.238.251.166,87.204.224.0
8648|168|1.1565|0.002|42.8703893398|195.62.101.6,195.62.101.2
8657|1432|3.108|0.0|10.0248640596|195.8.0.234,195.8.1.22,195.8.1.70
3491|1529|9.268|0.0|110.039945452|63.218.23.173,63.218.254.9,63.223.13.73,63.223.13.90,63.217.112.9,63.218.22.161,63.218.107.17,63.223.13.94,63.218.253.17,63.216.142.169,63.223.13.86,63.218.167.93,63.218.212.169,63.218.113.29,63.217.59.25,63.218.15.49,63.218.193.33,63.223.13.70,63.217.112.41,63.218.243.17,63.218.204.137,63.217.112.13,63.216.142.121,63.223.13.66,63.218.213.173,63.218.124.45,63.218.181.41,63.223.13.138,63.223.13.114,63.223.6.89,63.223.13.142,63.223.13.106,63.223.13.110,63.218.254.69,63.218.211.81,63.223.13.118
29140|399|0.941|0.044|7.76876290751|217.31.95.135
12759|315|5.315|4.808|4.97977820444|212.16.228.73
39386|395|8.376|0.015|29.1681011853|84.235.111.171,84.235.111.173,84.235.94.11,84.235.111.175,84.235.95.230,84.235.94.9,84.235.95.234,84.235.95.242
12767|308|7.2925|2.616|84.0383540983|89.233.140.106
35297|192|7.726|0.01|7.30920485598|91.204.215.90,193.239.72.20
8677|59|4.179|0.011|13.0517076975|160.92.6.38
20884|74|7.291|5.857|6.87526015138|80.74.41.180,80.74.43.123
12779|766|11.603|0.494|29.8331513722|213.254.0.25
4589|264|1.195|0.005|8.35079358384|62.93.163.69,87.86.77.165
29169|125|8.296|0.082|13.7916697759|217.70.176.98,217.70.186.66,217.70.186.70
25074|755|4.5355|0.001|16.5628700619|213.203.213.77,83.220.157.65
47605|50|41.592|34.914|5.81343124239|87.236.158.102,87.236.157.89
35320|1383|2.445|0.004|63.4428951508|80.93.127.238,80.93.127.226,80.93.127.166
25091|15356|0.553|0.0|28.7048072826|46.20.254.116,46.20.254.49,46.20.246.221
6663|1584|30.2345|0.272|10.4361007832|31.210.12.33,31.210.10.133,31.210.12.233,31.210.11.233,31.210.10.145,31.210.11.113,31.210.10.161,31.210.13.121,31.210.12.121,89.238.248.121,31.210.12.137,31.210.11.49,31.210.10.53
55818|83|200.544|190.392|124.234175979|119.110.117.1
6667|2268|0.9325|0.001|58.1143516694|213.192.184.202,213.192.186.38,213.192.184.162
8717|12|27.347|26.424|0.978640255661|212.91.166.73,92.247.35.121
21011|500|32.053|2.552|20.2899730872|77.88.203.157,77.88.200.9,77.88.203.73,77.88.248.1,77.88.203.77,77.88.248.49,77.88.212.97,77.88.212.117,77.88.212.125,77.88.211.9,77.88.200.101
31252|510|1.895|0.008|66.7132010649|37.233.0.2,37.233.0.10,37.233.0.6,95.65.8.82,37.233.0.14,37.233.1.77,89.28.1.165
21013|14|9.138|5.078|41.8787205899|85.31.8.192
29208|2625|3.037|0.0|44.6521638867|82.119.245.186,82.119.253.125
8732|1058|5.5385|0.0|13.9559925282|62.117.100.185,62.117.100.174,62.117.100.222,62.117.100.169,62.117.100.83,62.117.100.81,62.117.100.187,62.117.100.171
21021|413|18.835|3.71|23.1128704906|89.228.6.38,89.228.4.171
8741|515|3.307|0.247|57.6341159133|212.223.156.13
35366|215|0.497|0.017|52.4384291216|185.2.8.22
553|7548|0.332|0.0|40.9235639272|129.143.57.178,129.143.58.169,129.143.59.218,129.143.59.253,129.143.59.102,129.143.59.249,129.143.59.242,129.143.57.174,129.143.59.202
29226|134|44.4685|39.105|99.5556180842|178.238.115.97,217.67.176.249,217.67.176.53
12843|903|0.698|0.001|15.8800292937|81.26.160.41,81.26.160.46
24637|5|0.185|0.01|0.200638979264|
12849|552|59.0555|8.177|28.2461258187|213.57.0.229,213.57.0.154,213.57.0.249,213.57.0.141,213.57.0.169
2613|103|9.583|6.561|29.655155729|193.135.150.17
8763|923|0.604|0.002|11.0123412799|81.91.160.89,81.91.160.243
