8220|31|4.107|2.307|9.16193650765|80.169.211.241
12322|2303|0.527|0.0|57.628844013|212.27.56.42,212.27.56.38
47143|9|8.815|0.233|29.0456361729|91.192.116.133
12329|45|7.328|2.995|41.8427047978|212.23.140.206,212.23.128.249
34863|293|14.043|10.227|27.1368634454|81.23.47.98,81.23.47.34
8251|9|13.369|7.978|2.51114026532|
30781|1067|0.716|0.000999999999999|8.23839454536|85.31.194.245
12350|307|14.061|12.773|162.21484802|212.147.63.193,212.147.63.197
24642|365|0.807|0.013|20.2628982492|81.18.163.197
12355|157|0.692|0.000999999999999|20.2816819945|212.37.62.96,212.37.63.23
8262|78|35.423|28.724|39.3236370843|82.119.73.137,85.14.2.2,85.14.2.135
2119|2240|1.9975|0.0|23.1073743656|146.172.105.38,146.172.105.9
59469|1|1.899|1.899|0.0|
12301|420|22.094|3.103|29.3184207096|213.163.52.165,213.163.54.141,213.163.5.77
36944|1113|3.042|0.000999999999976|33.6741293186|196.32.210.178
28753|1|1.119|1.119|0.0|
45147|64|202.36475|194.309|13.6101487263|119.110.112.182
12389|1910|8.174|0.005|125.933965608|95.167.95.113,217.107.68.13,217.107.67.7,95.167.95.80,217.107.68.17,217.107.67.17,217.107.67.9,87.226.133.89,217.107.67.19,217.107.68.7,217.107.67.3,87.226.133.147,95.167.95.109,217.107.67.13,87.226.133.101
12989|121|9.483|0.0|61.955407208|81.171.115.241,209.197.0.39,69.16.191.102
45170|1|23.406|23.406|0.0|202.52.0.25
28788|1081|1.215|0.005|38.491313422|62.133.255.197,62.133.255.209,62.133.255.162
45758|4|18.701|12.377|3.50269391861|110.164.0.83
8315|335|1.433|0.003|141.851728655|5.100.225.17
30844|466|7.9245|0.207|51.3489412576|5.11.10.99
12414|1795|2.72|0.001|57.172241718|212.45.45.169,212.45.45.161,212.45.45.173,212.45.45.165,212.45.60.101,212.45.60.102,213.233.216.253,212.45.61.37,212.45.45.109,212.45.35.233
47232|9|19.582|18.797|0.387611712292|217.75.208.117
6848|2|13.18175|11.6475|1.53425|
41090|493|22.365|18.778|32.5538840956|195.189.64.186,195.189.64.148
49285|197|12.982|3.815|91.5593551327|188.93.80.66
43142|136|17.98525|5.402|26.7095757085|46.227.16.1
